row_id,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_id,order_status,customer_state,customer_city
0,00010242fe8c5a6d1ba2dd792cb16214,1,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,2017-09-19 09:45:35,58.9,13.29,650.0,28.0,9.0,14.0,3ce436f183e68e07877b285a838db11a,delivered,RJ,campos dos goytacazes
2,000229ec398224ef6ca0657da4fc703e,1,c777355d18b72b67abbeef9df44fd0fd,5b51032eddd242adc84c38acab88f23d,2018-01-18 14:48:30,199.0,17.87,3050.0,33.0,13.0,33.0,6489ae5e4333f3693df5ad4372dab6d3,delivered,MG,para de minas
3,00024acbcdf0a6daa1e931b038114c75,1,7634da152a4610f1595efa32f14722fc,9d7a1d34a5052409006425275ba1c2b4,2018-08-15 10:10:18,12.99,12.79,200.0,16.0,10.0,15.0,d4eb9395c8c0431ee92fce09860c5a06,delivered,SP,atibaia
4,00042b26cf59d7ce69dfabb4e55b4fd9,1,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,2017-02-13 13:57:51,199.9,18.14,3750.0,35.0,40.0,30.0,58dbd0b2d70206bf40e62cd34e84d795,delivered,SP,varzea paulista
5,00048cc3ae777c65dbb7d2a0634bc1ea,1,ef92defde845ab8450f9d70c526ef70f,6426d21aca402a131fc0a5d0960a3c90,2017-05-23 03:55:27,21.9,12.69,450.0,24.0,8.0,15.0,816cbea969fe5b689b39cfc97a506742,delivered,MG,uberaba
6,00054e8431b9d7675808bcb819fb4a32,1,8d4f2bb7e93e6710a28f34fa83ee7d28,7040e82f899a04d1b434b795a43b4617,2017-12-14 12:10:31,19.9,11.85,200.0,27.0,5.0,20.0,32e2e6ab09e778d99bf2e0ecd4898718,delivered,SP,guararapes
8,0005a1a1728c9d785b8e2b08b904576c,1,310ae3c140ff94b03219ad0adc3c778f,a416b6a846a11724393025641d4edd5e,2018-03-26 18:31:29,145.95,11.65,2000.0,30.0,12.0,16.0,16150771dfd4776261284213b89c304e,delivered,SP,santos
9,0005f50442cb953dcd1d21e1fb923495,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-06 14:10:56,53.99,11.4,850.0,29.0,3.0,21.0,351d3cb2cee3c7fd0af6616c82df21d3,delivered,SP,jandira
10,00061f2a7bc09da83e415a52dc8a4af1,1,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,2018-03-29 22:28:09,59.99,8.88,950.0,35.0,25.0,20.0,c6fc061d86fab1e2b2eac259bac71a49,delivered,SP,piracicaba
13,0008288aa423d2a3f00fcb17cd7d8719,1,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,2018-02-21 02:55:52,49.9,13.37,1650.0,30.0,22.0,30.0,2355af7c75e7c98b43a87b2a7f210dc5,delivered,SP,jandira
14,0008288aa423d2a3f00fcb17cd7d8719,2,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,2018-02-21 02:55:52,49.9,13.37,1650.0,30.0,22.0,30.0,2355af7c75e7c98b43a87b2a7f210dc5,delivered,SP,jandira
15,0009792311464db532ff765bf7b182ae,1,8cab8abac59158715e0d70a36c807415,530ec6109d11eaaf87999465c6afee01,2018-08-17 12:15:10,99.9,27.65,1050.0,40.0,20.0,30.0,2a30c97668e81df7c17a8b14447aeeba,delivered,MG,alfenas
16,0009c9a17f916a706d71784483a5d643,1,3f27ac8e699df3d300ec4a5d8c5cf0b2,fcb5ace8bcc92f75707dc0f01a27d269,2018-05-02 09:31:53,639.0,11.34,200.0,16.0,5.0,12.0,8a250edc40ebc5c3940ebc940f16a7eb,delivered,SP,campinas
17,000aed2e25dbad2f9ddb70584c5a2ded,1,4fa33915031a8cde03dd0d3e8fb27f01,fe2032dab1a61af8794248c8196565c9,2018-05-16 20:57:03,144.0,8.77,468.0,23.0,18.0,19.0,fff5169e583fd07fac9fec88962f189d,delivered,SP,santa barbara d'oeste
18,000c3e6612759851cc3cbb4b83257986,1,b50c950aba0dcead2c48032a690ce817,218d46b86c1881d022bce9c68a7d4b15,2017-08-21 03:33:13,99.0,13.71,1800.0,16.0,16.0,16.0,3773bcf1a6fbd29233ea1c1b573c4f22,delivered,SP,jundiai
19,000e562887b1f2006d75e0be9558292e,1,5ed9eaf534f6936b51d0b6c5e4d5c2e9,8cbac7e12637ed9cffa18c7875207478,2018-02-28 12:08:37,25.0,16.11,600.0,20.0,20.0,21.0,2b01d668726fb0b751c55918c0437b7b,delivered,SP,cubatao
20,000e63d38ae8c00bbcb5a30573b99628,1,553e0e7590d3116a072507a3635d2877,1c129092bf23f28a5930387c980c0dfc,2018-03-29 20:07:49,47.9,8.88,800.0,20.0,20.0,20.0,98884e672c5ba85f4394f2044e1a3eab,delivered,SP,sao paulo
21,000e906b789b55f64edcb1f84030f90d,1,57d79905de06d8897872c551bfd09358,ea8482cd71df3c1969d7b9473ff13abc,2017-11-27 19:09:02,21.99,11.85,300.0,17.0,4.0,12.0,6a3b2fc9f270df258605e22bef19fd88,delivered,SP,santa cruz do rio pardo
22,000f25f4d72195062c040b12dce9a18a,1,1c05e0964302b6cf68ca0d15f326c6ba,7c67e1448b00f6e969d365cea6b010ab,2018-03-21 11:10:11,119.99,44.4,9375.0,55.0,54.0,19.0,86ade8ebc14f18dd6c3ea75bd0eb7534,delivered,RJ,volta redonda
23,001021efaa8636c29475e7734483457d,1,5d7c23067ed3fc8c6e699b9373d5890b,6560211a19b47992c3666cc44a7e94c0,2018-03-05 09:35:41,49.0,15.1,250.0,16.0,2.0,20.0,2dfbf74859104caf100df3720a1d833d,delivered,PR,ivaipora
24,0010b2e5201cc5f1ae7e9c6cc8f5bd00,1,5a419dbf24a8c9718fe522b81c69f61a,3504c0cb71d7fa48d967e0e4c94d59d9,2017-09-15 18:04:37,48.9,16.6,1800.0,34.0,5.0,34.0,57ef317d4818cb42680fc9dfd13867ce,delivered,RJ,rio de janeiro
25,00119ff934e539cf26f92b9ef0cdfed8,1,21b1c2f67a9aafb5af0eb06c13b9dbda,c864036feaab8c1659f65ea4faebe1da,2017-08-11 00:35:12,219.9,16.98,9800.0,105.0,15.0,28.0,7dd2e283f47deac853cf70f3b63c8d86,delivered,RJ,nova iguacu
26,0011d82c4b53e22e84023405fb467e57,1,c389f712c4b4510bc997cee93e8b1a28,bfd27a966d91cfaafdb25d076585f0da,2018-01-29 21:51:25,289.0,26.33,2965.0,41.0,27.0,34.0,2013d892495e1a101d742d533d2d1119,delivered,SP,sao paulo
27,00125cb692d04887809806618a2a145f,1,1c0c0093a48f13ba70d0c6b0a9157cb7,41b39e28db005d9731d9d485a83b4c38,2017-03-29 13:05:42,109.9,25.51,2500.0,47.0,21.0,41.0,8afb90a97ee661103014329b1bcea1a2,delivered,GO,anapolis
28,00130c0eee84a3d909e75bc08c5c3ca1,1,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018-06-14 05:16:24,27.9,7.94,150.0,17.0,13.0,13.0,47d656c08a282ec5ab4c1f18303a3a30,delivered,SP,sao bernardo do campo
29,0013503b13da1eac686219390b7d641b,1,38afdf723b95d455b418a0f57d623c6b,1554a68530182680ad5c8b042c3ab563,2017-12-13 03:16:36,119.9,17.32,2500.0,34.0,6.0,28.0,f7277fce45fad3165379c15cacf5ddbe,delivered,SP,osasco
30,00137e170939bba5a3134e2386413108,1,672e757f331900b9deea127a2a7b79fd,e59aa562b9f8076dd550fcddf0e73491,2017-11-30 06:30:55,397.0,24.65,2650.0,30.0,30.0,20.0,7b63cba66b8e6d002e94d0990c1e2868,delivered,RJ,rio de janeiro
31,001427c0ec99cf8af737bd88e92fd444,1,28b4eced95a52d9c437a4caf9d311b95,77530e9772f57a62c906e1c21538ab82,2018-04-12 19:08:28,59.9,23.35,750.0,69.0,11.0,11.0,eab9c552374be06ed15923016dc9e588,delivered,MG,ituiutaba
32,00143d0f86d6fbd9f9b38ab440ac16f5,1,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.1,180.0,17.0,11.0,14.0,2e45292979b9b2700ea09560eeb0f803,delivered,GO,goiania
36,0015ebb40fb17286bea51d4607c4733c,1,50fd2b788dc166edd20512370dac54df,8b321bb669392f5163d04c59e235e066,2018-01-18 09:11:24,21.9,15.1,150.0,30.0,10.0,20.0,da43a556bf5c36a1104c473cff77de6c,delivered,PR,pato bragado
37,00169e31ef4b29deaae414f9a5e95929,1,b10eba910a974df70b8a12d0665cdb9e,a3e9a2c700480d9bb01fba070ba80a0e,2018-01-23 03:35:47,39.0,16.11,550.0,51.0,4.0,41.0,efb3830adb68fb8a89c948774388ec28,delivered,RJ,rio de janeiro
38,0016dfedd97fc2950e388d2971d718c7,1,4089861a1bd4685da70bddd6b4f974f1,a35124e2d763d7ca3fbe3b97d143200f,2017-05-05 10:05:12,49.75,20.8,1500.0,27.0,6.0,23.0,2c8b917c5d7dd720ebe36a5ed3b501ec,delivered,BA,canavieiras
39,0017afd5076e074a48f1f1a4c7bac9c5,1,fe59a1e006df3ac42bf0ceb876d70969,25c5c91f63607446a97b143d2d535d31,2017-04-24 22:25:19,809.1,44.29,3407.0,28.0,22.0,23.0,8085a9af46f619bc25966f151a362b0d,delivered,AL,campo alegre
40,001862358bf858722e1e2ae000cfed8b,1,c6dd917a0be2a704582055949915ab32,7a67c85e85bb2ce8582c35f2203ad736,2018-02-13 19:10:37,99.99,13.72,1200.0,42.0,25.0,15.0,2cf869dd40c98f29686f636d83545cce,delivered,SP,cunha
41,0019c29108428acffd089c36103c9440,1,28b4eced95a52d9c437a4caf9d311b95,77530e9772f57a62c906e1c21538ab82,2018-03-12 06:50:26,59.9,19.95,750.0,69.0,11.0,11.0,5f6bbac628ae418db4e0f92932f899c1,delivered,MG,monte siao
42,001ab0a7578dd66cd4b0a71f5b6e1e41,1,0b0172eb0fd18479d29c3bc122c058c2,5656537e588803a555b8eb41f07a944b,2018-01-04 02:33:42,24.89,17.63,150.0,22.0,13.0,15.0,8bb3bef4e75a95524235cdc11a7331af,delivered,BA,salvador
44,001ab0a7578dd66cd4b0a71f5b6e1e41,3,0b0172eb0fd18479d29c3bc122c058c2,5656537e588803a555b8eb41f07a944b,2018-01-04 02:33:42,24.89,17.63,150.0,22.0,13.0,15.0,8bb3bef4e75a95524235cdc11a7331af,delivered,BA,salvador
45,001ac194d4a326a6fa99b581e9a3d963,1,dbaee28f4ee64465838a229582d77520,ffc470761de7d0232558ba5e786e57b7,2018-07-10 02:51:10,54.0,8.54,418.0,19.0,6.0,13.0,f4f17ada91ef010cbde3892ae54e625f,delivered,SP,cubatao
